Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
26-Aug-20,,,,,,,,,,,,,,,,,,,
6088,5|12|17|18|19,4,X,X,,,,,,,,,,,,,,,
27-Aug-20,,,,,,,,,,,,,,,,,,,
6089,5|7|9|10|19,2,X,X,,,,,,,,,,,,,,,
28-Aug-20,,,,,,,,,,,,,,,,,,,
6090,5|10|12|13|20,2,X,X,,,,,,,,,,,,,,,
29-Aug-20,,,,,,,,,,,,,,,,,,,
6091,1|9|13|17|18,4,X,X,,,,,,,,,,,,,,,
31-Aug-20,,,,,,,,,,,,,,,,,,,
6092,1|8|9|10|18,2,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Sep-20,,,,,,,,,,,,,,,,,,,
6093,1|3|6|10|19,3,X,X,,,,,,,,,,,,,,,
02-Sep-20,,,,,,,,,,,,,,,,,,,
6094,2|3|5|15|19,1,X,X,,,,,,,,,,,,,,,
03-Sep-20,,,,,,,,,,,,,,,,,,,
6095,2|3|11|12|16,3,X,X,,,,,,,,,,,,,,,
04-Sep-20,,,,,,,,,,,,,,,,,,,
6096,2|8|10|14|19,1,X,X,,,,,,,,,,,,,,,
05-Sep-20,,,,,,,,,,,,,,,,,,,
6097,2|4|7|8|11,4,X,X,,,,,,,,,,,,,,,
07-Sep-20,,,,,,,,,,,,,,,,,,,
6098,5|8|9|12|13,3,X,X,,,,,,,,,,,,,,,
08-Sep-20,,,,,,,,,,,,,,,,,,,
6099,4|10|12|14|17,1,X,X,,,,,,,,,,,,,,,
09-Sep-20,,,,,,,,,,,,,,,,,,,
6100,5|7|8|16|17,1,X,X,,,,,,,,,,,,,,,
10-Sep-20,,,,,,,,,,,,,,,,,,,
6101,9|10|12|14|19,4,X,X,,,,,,,,,,,,,,,
11-Sep-20,,,,,,,,,,,,,,,,,,,
6102,7|12|14|16|17,4,X,X,,,,,,,,,,,,,,,
12-Sep-20,,,,,,,,,,,,,,,,,,,
6103,3|4|7|10|19,2,X,X,,,,,,,,,,,,,,,
14-Sep-20,,,,,,,,,,,,,,,,,,,
6104,1|9|16|19|20,3,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Sep-20,,,,,,,,,,,,,,,,,,,
6105,1|5|10|11|12,1,X,X,,,,,,,,,,,,,,,
16-Sep-20,,,,,,,,,,,,,,,,,,,
6106,6|8|10|19|20,1,X,X,,,,,,,,,,,,,,,
17-Sep-20,,,,,,,,,,,,,,,,,,,
6107,1|2|5|9|19,4,X,X,,,,,,,,,,,,,,,
18-Sep-20,,,,,,,,,,,,,,,,,,,
6108,2|7|13|14|17,1,X,X,,,,,,,,,,,,,,,
19-Sep-20,,,,,,,,,,,,,,,,,,,
6109,5|6|12|14|16,2,X,X,,,,,,,,,,,,,,,
21-Sep-20,,,,,,,,,,,,,,,,,,,
6110,1|8|12|13|14,2,X,X,,,,,,,,,,,,,,,
22-Sep-20,,,,,,,,,,,,,,,,,,,
6111,8|10|17|18|19,1,X,X,,,,,,,,,,,,,,,
23-Sep-20,,,,,,,,,,,,,,,,,,,
6112,3|4|10|14|20,1,X,X,,,,,,,,,,,,,,,
24-Sep-20,,,,,,,,,,,,,,,,,,,
6113,4|6|11|13|18,3,X,X,,,,,,,,,,,,,,,
25-Sep-20,,,,,,,,,,,,,,,,,,,
6114,4|7|11|13|20,2,X,X,,,,,,,,,,,,,,,
26-Sep-20,,,,,,,,,,,,,,,,,,,
6115,5|7|9|10|19,2,X,X,,,,,,,,,,,,,,,
28-Sep-20,,,,,,,,,,,,,,,,,,,
6116,2|7|11|14|16,3,X,X,,,,,,,,,,,,,,,
29-Sep-20,,,,,,,,,,,,,,,,,,,
6117,8|9|10|15|18,1,X,X,,,,,,,,,,,,,,,
30-Sep-20,,,,,,,,,,,,,,,,,,,
6118,5|6|7|17|19,1,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Oct-20,,,,,,,,,,,,,,,,,,,
6119,1|3|16|17|20,4,X,X,,,,,,,,,,,,,,,
02-Oct-20,,,,,,,,,,,,,,,,,,,
6120,2|4|8|9|12,4,X,X,,,,,,,,,,,,,,,
03-Oct-20,,,,,,,,,,,,,,,,,,,
6121,2|8|13|14|20,4,X,X,,,,,,,,,,,,,,,
05-Oct-20,,,,,,,,,,,,,,,,,,,
6122,3|5|10|13|17,4,X,X,,,,,,,,,,,,,,,
06-Oct-20,,,,,,,,,,,,,,,,,,,
6123,3|4|5|9|15,1,X,X,,,,,,,,,,,,,,,
07-Oct-20,,,,,,,,,,,,,,,,,,,
6124,3|6|10|15|16,1,X,X,,,,,,,,,,,,,,,
08-Oct-20,,,,,,,,,,,,,,,,,,,
6125,1|5|14|18|20,3,X,X,,,,,,,,,,,,,,,
09-Oct-20,,,,,,,,,,,,,,,,,,,
6126,2|12|14|16|18,4,X,X,,,,,,,,,,,,,,,
10-Oct-20,,,,,,,,,,,,,,,,,,,
6127,3|9|12|14|15,2,X,X,,,,,,,,,,,,,,,
12-Oct-20,,,,,,,,,,,,,,,,,,,
6128,1|2|5|8|20,2,X,X,,,,,,,,,,,,,,,
13-Oct-20,,,,,,,,,,,,,,,,,,,
6129,7|11|13|14|17,4,X,X,,,,,,,,,,,,,,,
14-Oct-20,,,,,,,,,,,,,,,,,,,
6130,1|4|7|8|12,2,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Oct-20,,,,,,,,,,,,,,,,,,,
6131,4|5|8|11|12,3,X,X,,,,,,,,,,,,,,,
16-Oct-20,,,,,,,,,,,,,,,,,,,
6132,6|7|8|13|19,3,X,X,,,,,,,,,,,,,,,
17-Oct-20,,,,,,,,,,,,,,,,,,,
6133,11|12|15|17|20,3,X,X,,,,,,,,,,,,,,,
19-Oct-20,,,,,,,,,,,,,,,,,,,
6134,3|8|12|14|19,3,X,X,,,,,,,,,,,,,,,
20-Oct-20,,,,,,,,,,,,,,,,,,,
6135,2|5|10|14|18,1,X,X,,,,,,,,,,,,,,,
21-Oct-20,,,,,,,,,,,,,,,,,,,
6136,1|5|7|10|15,2,X,X,,,,,,,,,,,,,,,
22-Oct-20,,,,,,,,,,,,,,,,,,,
6137,4|12|13|14|19,3,X,X,,,,,,,,,,,,,,,
23-Oct-20,,,,,,,,,,,,,,,,,,,
6138,11|12|14|15|16,3,X,X,,,,,,,,,,,,,,,
24-Oct-20,,,,,,,,,,,,,,,,,,,
6139,2|6|7|17|18,2,X,X,,,,,,,,,,,,,,,
26-Oct-20,,,,,,,,,,,,,,,,,,,
6140,2|6|8|10|15,2,X,X,,,,,,,,,,,,,,,
27-Oct-20,,,,,,,,,,,,,,,,,,,
6141,1|4|7|9|19,2,X,X,,,,,,,,,,,,,,,
28-Oct-20,,,,,,,,,,,,,,,,,,,
6142,2|9|11|13|18,2,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
29-Oct-20,,,,,,,,,,,,,,,,,,,
6143,1|2|13|16|17,3,X,X,,,,,,,,,,,,,,,
30-Oct-20,,,,,,,,,,,,,,,,,,,
6144,4|7|9|10|14,1,X,X,,,,,,,,,,,,,,,
31-Oct-20,,,,,,,,,,,,,,,,,,,
6145,3|6|11|16|17,2,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
02-Nov-20,,,,,,,,,,,,,,,,,,,
6146,5|14|15|16|20,4,X,X,,,,,,,,,,,,,,,
03-Nov-20,,,,,,,,,,,,,,,,,,,
6147,1|5|10|12|13,2,X,X,,,,,,,,,,,,,,,
04-Nov-20,,,,,,,,,,,,,,,,,,,
6148,2|8|12|19|20,1,X,X,,,,,,,,,,,,,,,
05-Nov-20,,,,,,,,,,,,,,,,,,,
6149,10|13|16|17|19,3,X,X,,,,,,,,,,,,,,,
06-Nov-20,,,,,,,,,,,,,,,,,,,
6150,4|5|9|16|20,1,X,X,,,,,,,,,,,,,,,
07-Nov-20,,,,,,,,,,,,,,,,,,,
6151,6|11|15|17|20,4,X,X,,,,,,,,,,,,,,,
09-Nov-20,,,,,,,,,,,,,,,,,,,
6152,4|5|9|15|18,3,X,X,,,,,,,,,,,,,,,
10-Nov-20,,,,,,,,,,,,,,,,,,,
6153,2|7|8|15|18,1,X,X,,,,,,,,,,,,,,,
11-Nov-20,,,,,,,,,,,,,,,,,,,
6154,5|6|10|12|18,1,X,X,,,,,,,,,,,,,,,
12-Nov-20,,,,,,,,,,,,,,,,,,,
6155,1|2|7|14|16,2,X,X,,,,,,,,,,,,,,,
13-Nov-20,,,,,,,,,,,,,,,,,,,
6156,7|13|14|17|18,1,X,X,,,,,,,,,,,,,,,
16-Nov-20,,,,,,,,,,,,,,,,,,,
6157,4|5|7|13|14,2,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
17-Nov-20,,,,,,,,,,,,,,,,,,,
6158,2|3|11|12|16,1,X,X,,,,,,,,,,,,,,,
18-Nov-20,,,,,,,,,,,,,,,,,,,
6159,6|9|11|16|19,4,X,X,,,,,,,,,,,,,,,
19-Nov-20,,,,,,,,,,,,,,,,,,,
6160,7|10|11|14|15,3,X,X,,,,,,,,,,,,,,,
20-Nov-20,,,,,,,,,,,,,,,,,,,
6161,2|4|7|18|19,1,X,X,,,,,,,,,,,,,,,
21-Nov-20,,,,,,,,,,,,,,,,,,,
6162,1|4|9|10|18,4,X,X,,,,,,,,,,,,,,,
23-Nov-20,,,,,,,,,,,,,,,,,,,
6163,2|8|10|17|20,4,X,X,,,,,,,,,,,,,,,
24-Nov-20,,,,,,,,,,,,,,,,,,,
6164,5|14|15|17|20,2,X,X,,,,,,,,,,,,,,,
25-Nov-20,,,,,,,,,,,,,,,,,,,
6165,1|4|8|12|16,3,X,X,,,,,,,,,,,,,,,
26-Nov-20,,,,,,,,,,,,,,,,,,,
6166,3|9|11|12|17,2,X,X,,,,,,,,,,,,,,,
27-Nov-20,,,,,,,,,,,,,,,,,,,
6167,5|7|15|18|20,1,X,X,,,,,,,,,,,,,,,
28-Nov-20,,,,,,,,,,,,,,,,,,,
6168,9|11|16|17|18,4,X,X,,,,,,,,,,,,,,,
30-Nov-20,,,,,,,,,,,,,,,,,,,
6169,9|11|13|14|16,3,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Dec-20,,,,,,,,,,,,,,,,,,,
6170,3|6|7|8|15,1,X,X,,,,,,,,,,,,,,,
02-Dec-20,,,,,,,,,,,,,,,,,,,
6171,1|8|10|14|17,3,X,X,,,,,,,,,,,,,,,
03-Dec-20,,,,,,,,,,,,,,,,,,,
6172,3|8|10|12|13,2,X,X,,,,,,,,,,,,,,,
04-Dec-20,,,,,,,,,,,,,,,,,,,
6173,2|6|7|8|14,1,X,X,,,,,,,,,,,,,,,
05-Dec-20,,,,,,,,,,,,,,,,,,,
6174,1|2|8|10|14,3,X,X,,,,,,,,,,,,,,,
07-Dec-20,,,,,,,,,,,,,,,,,,,
6175,8|9|12|13|14,4,X,X,,,,,,,,,,,,,,,
08-Dec-20,,,,,,,,,,,,,,,,,,,
6176,7|10|12|14|17,4,X,X,,,,,,,,,,,,,,,
09-Dec-20,,,,,,,,,,,,,,,,,,,
6177,2|8|10|11|17,1,X,X,,,,,,,,,,,,,,,
10-Dec-20,,,,,,,,,,,,,,,,,,,
6178,4|5|8|10|19,3,X,X,,,,,,,,,,,,,,,
11-Dec-20,,,,,,,,,,,,,,,,,,,
6179,3|7|9|14|17,3,X,X,,,,,,,,,,,,,,,
12-Dec-20,,,,,,,,,,,,,,,,,,,
6180,8|12|14|18|19,4,X,X,,,,,,,,,,,,,,,
14-Dec-20,,,,,,,,,,,,,,,,,,,
6181,1|2|5|17|18,3,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Dec-20,,,,,,,,,,,,,,,,,,,
6182,1|3|7|10|20,2,X,X,,,,,,,,,,,,,,,
16-Dec-20,,,,,,,,,,,,,,,,,,,
6183,4|9|10|16|20,3,X,X,,,,,,,,,,,,,,,
17-Dec-20,,,,,,,,,,,,,,,,,,,
6184,1|8|16|18|20,3,X,X,,,,,,,,,,,,,,,
18-Dec-20,,,,,,,,,,,,,,,,,,,
6185,5|8|10|13|14,4,X,X,,,,,,,,,,,,,,,
19-Dec-20,,,,,,,,,,,,,,,,,,,
6186,7|8|9|10|17,4,X,X,,,,,,,,,,,,,,,
21-Dec-20,,,,,,,,,,,,,,,,,,,
6187,5|7|8|10|16,2,X,X,,,,,,,,,,,,,,,
22-Dec-20,,,,,,,,,,,,,,,,,,,
6188,6|8|15|18|20,1,X,X,,,,,,,,,,,,,,,
23-Dec-20,,,,,,,,,,,,,,,,,,,
6189,4|8|12|14|19,3,X,X,,,,,,,,,,,,,,,
24-Dec-20,,,,,,,,,,,,,,,,,,,
6190,5|6|10|13|19,4,X,X,,,,,,,,,,,,,,,
26-Dec-20,,,,,,,,,,,,,,,,,,,
6191,1|4|6|7|18,3,X,X,,,,,,,,,,,,,,,
28-Dec-20,,,,,,,,,,,,,,,,,,,
6192,1|4|14|16|20,3,X,X,,,,,,,,,,,,,,,
29-Dec-20,,,,,,,,,,,,,,,,,,,
6193,5|6|12|14|16,4,X,X,,,,,,,,,,,,,,,
30-Dec-20,,,,,,,,,,,,,,,,,,,
6194,1|2|10|14|19,2,X,X,,,,,,,,,,,,,,,
31-Dec-20,,,,,,,,,,,,,,,,,,,
6195,10|12|14|15|18,3,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Jan-21,,,,,,,,,,,,,,,,,,,
6196,6|12|13|15|20,1,X,X,,,,,,,,,,,,,,,
02-Jan-21,,,,,,,,,,,,,,,,,,,
6197,6|8|9|10|19,2,X,X,,,,,,,,,,,,,,,
04-Jan-21,,,,,,,,,,,,,,,,,,,
6198,2|3|7|10|14,3,X,X,,,,,,,,,,,,,,,
05-Jan-21,,,,,,,,,,,,,,,,,,,
6199,2|6|7|10|14,4,X,X,,,,,,,,,,,,,,,
06-Jan-21,,,,,,,,,,,,,,,,,,,
6200,1|4|8|17|20,3,X,X,,,,,,,,,,,,,,,
07-Jan-21,,,,,,,,,,,,,,,,,,,
6201,8|9|16|18|19,2,X,X,,,,,,,,,,,,,,,
08-Jan-21,,,,,,,,,,,,,,,,,,,
6202,5|6|7|11|15,1,X,X,,,,,,,,,,,,,,,
09-Jan-21,,,,,,,,,,,,,,,,,,,
6203,2|8|14|15|18,4,X,X,,,,,,,,,,,,,,,
11-Jan-21,,,,,,,,,,,,,,,,,,,
6204,4|5|13|15|19,4,X,X,,,,,,,,,,,,,,,
12-Jan-21,,,,,,,,,,,,,,,,,,,
6205,1|4|9|11|18,1,X,X,,,,,,,,,,,,,,,
13-Jan-21,,,,,,,,,,,,,,,,,,,
6206,1|4|7|10|11,3,X,X,,,,,,,,,,,,,,,
14-Jan-21,,,,,,,,,,,,,,,,,,,
6207,1|3|6|11|18,2,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Jan-21,,,,,,,,,,,,,,,,,,,
6208,2|3|7|8|14,3,X,X,,,,,,,,,,,,,,,
16-Jan-21,,,,,,,,,,,,,,,,,,,
6209,2|3|8|10|11,3,X,X,,,,,,,,,,,,,,,
18-Jan-21,,,,,,,,,,,,,,,,,,,
6210,7|8|12|13|14,2,X,X,,,,,,,,,,,,,,,
19-Jan-21,,,,,,,,,,,,,,,,,,,
6211,5|7|10|11|20,3,X,X,,,,,,,,,,,,,,,
20-Jan-21,,,,,,,,,,,,,,,,,,,
6212,1|3|6|7|19,1,X,X,,,,,,,,,,,,,,,
21-Jan-21,,,,,,,,,,,,,,,,,,,
6213,4|5|6|7|11,2,X,X,,,,,,,,,,,,,,,
22-Jan-21,,,,,,,,,,,,,,,,,,,
6214,5|7|14|15|16,3,X,X,,,,,,,,,,,,,,,
23-Jan-21,,,,,,,,,,,,,,,,,,,
6215,3|7|10|17|20,4,X,X,,,,,,,,,,,,,,,
25-Jan-21,,,,,,,,,,,,,,,,,,,
6216,1|4|5|8|19,3,X,X,,,,,,,,,,,,,,,
26-Jan-21,,,,,,,,,,,,,,,,,,,
6217,6|16|18|19|20,1,X,X,,,,,,,,,,,,,,,
27-Jan-21,,,,,,,,,,,,,,,,,,,
6218,4|9|10|16|19,2,X,X,,,,,,,,,,,,,,,
28-Jan-21,,,,,,,,,,,,,,,,,,,
6219,15|16|17|18|20,4,X,X,,,,,,,,,,,,,,,
29-Jan-21,,,,,,,,,,,,,,,,,,,
6220,1|5|6|7|16,4,X,X,,,,,,,,,,,,,,,
30-Jan-21,,,,,,,,,,,,,,,,,,,
6221,3|4|7|14|16,2,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Feb-21,,,,,,,,,,,,,,,,,,,
6222,9|13|14|15|18,4,X,X,,,,,,,,,,,,,,,
02-Feb-21,,,,,,,,,,,,,,,,,,,
6223,1|6|9|12|17,1,X,X,,,,,,,,,,,,,,,
03-Feb-21,,,,,,,,,,,,,,,,,,,
6224,2|4|7|8|10,1,X,X,,,,,,,,,,,,,,,
04-Feb-21,,,,,,,,,,,,,,,,,,,
6225,5|6|9|11|14,2,X,X,,,,,,,,,,,,,,,
05-Feb-21,,,,,,,,,,,,,,,,,,,
6226,1|11|12|13|15,1,X,X,,,,,,,,,,,,,,,
06-Feb-21,,,,,,,,,,,,,,,,,,,
6227,1|4|9|16|19,3,X,X,,,,,,,,,,,,,,,
08-Feb-21,,,,,,,,,,,,,,,,,,,
6228,8|9|12|14|19,2,X,X,,,,,,,,,,,,,,,
09-Feb-21,,,,,,,,,,,,,,,,,,,
6229,5|6|10|14|17,3,X,X,,,,,,,,,,,,,,,
10-Feb-21,,,,,,,,,,,,,,,,,,,
6230,9|14|15|16|19,4,X,X,,,,,,,,,,,,,,,
11-Feb-21,,,,,,,,,,,,,,,,,,,
6231,3|5|9|16|20,4,X,X,,,,,,,,,,,,,,,
12-Feb-21,,,,,,,,,,,,,,,,,,,
6232,7|8|12|17|19,4,X,X,,,,,,,,,,,,,,,
13-Feb-21,,,,,,,,,,,,,,,,,,,
6233,1|5|6|11|19,4,X,X,,,,,,,,,,,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,,,,,,,,,,,,,,,,,,,
15-Feb-21,,,,,,,,,,,,,,,,,,,
6234,1|2|4|6|18,3,X,X,,,,,,,,,,,,,,,
16-Feb-21,,,,,,,,,,,,,,,,,,,
6235,1|3|12|14|17,3,X,X,,,,,,,,,,,,,,,
17-Feb-21,,,,,,,,,,,,,,,,,,,
6236,11|16|17|19|20,1,X,X,,,,,,,,,,,,,,,
18-Feb-21,,,,,,,,,,,,,,,,,,,
6237,2|7|9|13|19,2,X,X,,,,,,,,,,,,,,,
19-Feb-21,,,,,,,,,,,,,,,,,,,
6238,2|5|7|17|19,1,X,X,,,,,,,,,,,,,,,
20-Feb-21,,,,,,,,,,,,,,,,,,,
6239,5|8|15|16|20,4,X,X,,,,,,,,,,,,,,,
22-Feb-21,,,,,,,,,,,,,,,,,,,
6240,1|6|16|18|20,2,X,X,,,,,,,,,,,,,,,
23-Feb-21,,,,,,,,,,,,,,,,,,,
6241,1|5|12|15|17,1,X,X,,,,,,,,,,,,,,,
24-Feb-21,,,,,,,,,,,,,,,,,,,
6242,2|3|4|17|18,1,X,X,,,,,,,,,,,,,,,
25-Feb-21,,,,,,,,,,,,,,,,,,,
6243,1|7|11|13|20,4,X,X,,,,,,,,,,,,,,,
26-Feb-21,,,,,,,,,,,,,,,,,,,
6244,5|6|12|15|18,3,X,X,,,,,,,,,,,,,,,
27-Feb-21,,,,,,,,,,,,,,,,,,,
6245,1|7|10|12|18,2,X,X,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
01-Mar-21,,,,,,,,,,,,,,,,,,,
6246,3|4|10|17|19,3,X,X,,,,,,,,,,,,,,,
02-Mar-21,,,,,,,,,,,,,,,,,,,
6247,1|8|11|17|20,1,X,X,,,,,,,,,,,,,,,
03-Mar-21,,,,,,,,,,,,,,,,,,,
6248,6|10|11|13|18,4,X,X,,,,,,,,,,,,,,,
04-Mar-21,,,,,,,,,,,,,,,,,,,
6249,3|9|10|12|19,2,X,X,,,,,,,,,,,,,,,
05-Mar-21,,,,,,,,,,,,,,,,,,,
6250,2|4|14|16|19,3,X,X,,,,,,,,,,,,,,,
06-Mar-21,,,,,,,,,,,,,,,,,,,
6251,2|4|5|10|15,2,X,X,,,,,,,,,,,,,,,
08-Mar-21,,,,,,,,,,,,,,,,,,,
6252,6|9|10|17|19,3,X,X,,,,,,,,,,,,,,,
09-Mar-21,,,,,,,,,,,,,,,,,,,
6253,4|8|10|19|20,1,X,X,,,,,,,,,,,,,,,
10-Mar-21,,,,,,,,,,,,,,,,,,,
6254,7|9|11|12|15,1,X,X,,,,,,,,,,,,,,,
11-Mar-21,,,,,,,,,,,,,,,,,,,
6255,1|2|3|5|7,4,X,X,,,,,,,,,,,,,,,
